review_id,text,text_len,num_spans,num_aspects
train-5430,Sản phẩm tốt. Chỉ không thích phần phát wifi của điện thoại.Nói chung hài lòng với chất lượng.,94,3,2
train-5476,Mua dc 4 ngày.cảm thấy ok.vừa túi tiền.cảm ứng vân tay cũng dc nếu tay ko bị bẩn sẽ mở nhạy đấy.mở khóa khuôn mặt thì tốt.chơi liên quân msx cấu hình ok nha.nghe gọi rõ.đáng mua đó mấy bạn,188,6,4
train-5617,Máy em mới mua được hơn 2 tháng mà dung lượng pin giảm còn 96% Quá nhanh luôn ạ 🙂,81,1,1
train-5842,"Sản phẩm hơi to! Cấu hình khủng, pin trâu,game liên quân mượt!!!! Sạc nhanh đầy! Thỉnh thoảng hay văng game k rõ vì sao!",120,6,3
train-5993,Sản phẩm rất tốt máy khoẻ không giật lagBỏ tiền mua ip7 plus này quả không phí đồng tiền Thái độ phục vụ của nhân viên tgdđ rất tốt,131,3,3
train-6013,"máy mua gần 1 tháng, tại sao quay video trên 1 phút rồi dừng lại thì lại bị đơ màn hình vậy, thủ cả mấy lần đều bị vậy, tại sao vậy",131,1,1
train-6068,"Máy xàI mượt, không giật lag, pin sử dụng lâu. Dung lượng 128gb rất nhiều cho lưu trữ. Chưa lên phiên bản ios 11. Nên máy còn dùng rất tốt.",139,4,4
train-6264,"Sau khi mình sử dụng Note 9S được vài ngày và quyết định thêm 500k lấy Note 9 Pro. Note 9 Pro thấy cũng đáng tiền hơn Note 9S. Note 9 Pro được cải hiện sạc nhanh 30W. Camera 64MP thấy cũng ổn áp. Cải hiện Motor rung như mấy dòng Cao cấp. Có luôn NFC mà Note 9S lại không có. Mình thích màu xanh lá của Note 9 Pro ( xanh lá đặc biệt ) Bắt wifi 5Ghz quá ngon, Sóng 4G cũng căng đét k có yếu gì cả. Còn độ bền mình sẽ đánh giá sau. Hihi",433,6,5
train-6490,Máy ngon phát wi-fi quá tốt ghe gọi rõ chắc chắn lên mua tuyệt vời nếu có 10 sao thì mình sẽ đánh 10 sao,104,3,2
train-6642,"Mình không hài lòng với máy chút nào về máy đã mua vẫn còn nhiều lỗi chưa khắc phục đc, máy mua hồi 15/4 giờ đã 27/4 không biết sao mình mua ngay lô bị máy lỗi, đổi một lần vẫn gặp phải máy lỗi màn hình bị hở sáng với nút nguồn, jack type C thì rung. Nguồn với Pin thì có hiện tượng lạ, phần mềm thông số không thể hiểu nổiNhư app mp3 xài có 5s mà hao pin hơn chơi liên quân tiếng đồng hồ.Mua nên cân nhắc trong thời gian này !",427,6,4
train-6705,"mua máy đổi trả nhưng rất vừa ý. màn hình ko mượt mà nhưng cảm giác vuốt chạm ổn, viền màn hình dày nhưng dc vát cong ko gây cấn tay , màn TFT nhưng hiển thị sáng rõ, góc nhìn 180 độ. Kết nhất là quả pin trâu: 4000 mAh coi youtube ( 5 phim phân giải 480 và 720 tùy phim, gần 11 tiếng) pin từ 97% về 30%.",303,3,3
train-6810,Em muốn đổi realme5i 3g 32 lấy con nay phải bù vào bn tiền vậy shop...em mua được hơn 1 tháng rồi,97,0,0
train-6889,"Máy tốt mọi thứ đều ổn .....có điều chơi game bằng 4g hơi bị tốn pin với lại để không nó cũng bị sụt pin ,,,,còn lại mọi thứ thì oke một ❤️",139,3,2
train-7056,"Mua 2 ngày , game giật vỡ mặt ,. Hình ảnh thì k thể hiện hình ảnh độ phân giải cáo là sao , rõ hiểu luôn , máy này mà vẫn có hình ảnh k thể xem đi ạ",148,2,2
train-7126,Mới dụng đc 3 ngày nhưng thấy cũng đc .. nếu chơi game ma hết pin thi máy nào cũng vậy ...kết nối bằng wifi thì đỡ hao pin với nóng máy hơn kết nối dữ liệu .. t chỉ ko hiểu là sạc nhanh như vậy có hại pin ko nữa ..,214,2,2
train-7309,"Máy ok nhưng ram 6gp mới mua 2 ngày mà chơi liên quân lag,khi để chất lượng hình ảnh thấp... Hơi thất vọng,thua con redmi note 5 của mình về phần chơi game",155,4,3
train-7413,"Tốt nên mua mượt lắm, xài sướng lắm luôn chơi liên quân pubg mượt camera đẹp nhưng k hiểu sao video call zalo mess hình ảnh k đẹp",129,3,3
train-7479,"Nếu mua chơi game liên quân đừng ai mua giật lg kinh khủng . Pin trâu . Thua . chip Quacom Snapdragon . Muốn chơi game tốt mua máy chip Snapdragon 665 hoặc 675 , 710 trở lên .",175,2,2
train-7492,"Máy ngón, cực ngon :))) chơi game mượt, pin trâu, chụp ảnh đẹp... Tóm lại là tốt",80,5,4
train-7530,"Quá kém, máy hay đứng và phản ứng chậm, vân tay nhiều lúc không nhận được.Nói chung là quá tệ so với số tiền bỏ ra.",115,4,3
train-7539,bạn mình mới mua thấy rất ok. Mình thích con này có cơ hội nên dùng thử em này :D,81,1,1
train-7591,Ms mua lúc 5/7 dùng tới h cảm nhận riêng của e là máy khá là ok vì máy e ko chơi game chỉ dùng fb youtube chụp ảnh và những ứng khác thấy máy khá mượt có cái là chụp 1 chạm e chưa hiểu lắm còn lại thì ok hết á,209,3,2
train-7617,"Mới mua 1 ngày, xài cũng ổn lắm. Mình chỉ thắc mắc sao nghe đc có 1 bên loa? Hay do đt giờ nó thế",97,2,2
